iteration,label,operation,gas_used,duration_ms,policy_id,outcome
230,createTestPolicy_230,createTestPolicy,227513,0.749,230,
230,finalize_230,finalize,69676,0.542,230,no_payout
231,createTestPolicy_231,createTestPolicy,227513,0.692,231,
231,expirePolicy_231,expirePolicy,55069,0.467,231,expired
232,createTestPolicy_232,createTestPolicy,227513,0.694,232,
232,finalize_232,finalize,92730,0.617,232,payout
233,createTestPolicy_233,createTestPolicy,227513,0.687,233,
233,expirePolicy_233,expirePolicy,55069,0.456,233,expired
234,createTestPolicy_234,createTestPolicy,227513,0.671,234,
234,finalize_234,finalize,69676,0.537,234,no_payout
235,createTestPolicy_235,createTestPolicy,227513,0.671,235,
235,expirePolicy_235,expirePolicy,55069,0.461,235,expired
236,createTestPolicy_236,createTestPolicy,227513,0.678,236,
236,finalize_236,finalize,92730,0.586,236,payout
237,createTestPolicy_237,createTestPolicy,227513,0.670,237,
237,expirePolicy_237,expirePolicy,55069,0.569,237,expired
238,createTestPolicy_238,createTestPolicy,227513,0.693,238,
238,finalize_238,finalize,69676,0.525,238,no_payout
239,createTestPolicy_239,createTestPolicy,227513,0.690,239,
239,expirePolicy_239,expirePolicy,55069,0.462,239,expired
